Id,Stations,LAT,LON
165,Chanda Fort,19.946423,79.296771
166,Chandausi Jn,28.448051,78.77961
167,Chandia Road,25.045768,68.651293
168,Chandigarh,30.733315,76.779418
169,CHANDOD,25.533756,73.133485
170,Chandrapura,23.74755,86.121742
171,Chaparmukh Jn,26.203411,92.5189
172,Charuvattur,12.216516,75.162615
173,CHAURADANO,26.847446,85.010352
174,Chengalpattu,12.683995,79.983348
175,Chennai Beach,13.09183,80.292157
176,Chennai Central,13.083634,80.27421
177,Chennai Egmore,13.077814,80.259662
178,Chhapra,25.783548,84.753143
179,Chhatrapur,19.35,84.98
180,CHHINDWARA JN,22.057437,78.938173
181,CHHOTA UDEPUR,22.308494,74.011999
182,Chikballapur,13.522865,77.836728
183,Chikjajur Jn,14.126,76.141
184,Chirimiri,23.18795,82.354162
185,Chitradurga,14.23,76.4
186,Chitrakoot,25.178815,80.865453
187,Chittaurgarh,24.888744,74.626922
188,Chittoor,13.217176,79.100329
189,Chopan,24.523265,83.020024
190,CHORANDA JN,21.988927,73.173313
191,Chunar,25.10341,82.866754
192,Churu,28.3,74.95
193,Coimbatore Jn,11.016845,76.955832
194,Coonoor,11.353002,76.79591
195,COSSIMBAZAR,24.12,88.28
196,Cuddalore Port,11.707256,79.742792
197,Cuddapah,14.467354,78.824134
198,Cuttack,20.462521,85.88299
199,Dabhoi Junction,22.132339,73.412128
200,Dabli Rathan,29.550699,74.191518
201,Dadar,19.021324,72.842418
202,Dahanu Road,19.991512,72.743519
203,Dahod,22.837931,74.253146
204,Dakor,22.75,73.15
205,Dalli Rajhara,20.58,81.08
206,Damoh,23.838099,79.442173
207,Danapur,25.633333,85.05
208,DANGARI,25.990036,81.923471
209,Dankaur,28.35,77.55
210,Darbhanga Jn,26.160497,85.899783
211,Darjeeling,27.036007,88.262675
212,Daund Jn,18.463056,74.578889
213,Dauram Madhpura,25.908449,86.782912
214,Dehradun,30.316495,78.032192
215,Dehri On Sone,24.927735,84.190984
216,Dekargaon,26.531796,92.034666
217,Delhi,28.635308,77.22496
218,Delhi S Rohilla,28.685537,77.29099
219,Delvada,20.776459,71.042348
220,DERABABA NANAK,32.032186,75.030448
221,DEVANAHALLI,13.241716,77.713731
222,Devlali,19.906167,73.824262
223,DHACA CANTT,23.819623,90.397224
224,Dhamtari,20.71,81.55
225,Dhanbad Jn,23.795653,86.430386
226,Dharmabad,18.9,77.85
227,DHARMANAGAR,24.37,92.17
228,Dharmapuri,12.101647,78.13463
229,Dharwar,15.458924,75.007808
230,DHASA JN,21.8,71.516667
231,Dhaulpur,26.7,77.9
232,Dhola Jn,21.821999,71.740005
233,Dhone,15.400271,77.872011
234,Dhrangadhra,22.98,71.47
235,Dhubri,26.020698,89.974346
236,Dhule,20.90422,74.774898
237,Dhuri Jn,30.37,75.87
238,DIBRUGARH,27.472833,94.911962
239,Dibrugarh Town,27.472833,94.911962
240,Digha,21.626617,87.507431
241,Dildarnagar Jn,25.423199,83.669815
242,Dimapur,25.8,93.783333
243,Dindigul Jn,10.367312,77.980291
244,DINHATA,26.133333,89.466667
245,Diva Junction,19.189002,73.042926
246,Dohrighat,26.26,83.52
247,Dombivli,19.209401,73.093948
248,Dongargarh,21.18842,80.75875
249,Dornakal Jn,17.445109,80.156813
250,Dullabcherra,24.485815,92.434151
251,Dumka,24.27,87.25
252,Duraundha Jn,26.085847,84.456646
253,Durg,21.19,81.28
254,Durgapur,23.520444,87.311923
255,Eluru,16.917418,81.339941
256,Ernakulam Jn,9.981636,76.299884
257,Erode Jn,11.341036,77.717164
258,Etah,27.56,78.66
259,Etawah,26.811712,79.00469
260,Faizabad Jn,26.77,82.15
261,Fakiragram Jn,26.364676,90.18345
262,Farrukhabad,27.382613,79.594054
263,FARUKHNAGAR,28.45,76.82
264,Fatehabad Ch Junction,27.00545,78.106738
265,Fatehpur,25.920074,80.809994
266,Fazilka,30.403648,74.027962
267,Firozpur Cant,30.941897,74.618266
268,Furkating Jn,26.458017,94.015254
269,Gadag Jn,15.432465,75.638034
270,Gadwal,16.23,77.8
271,Gajraula Jn,28.84485,78.239349
272,Gandhidham Bg,23.06879,70.147999
273,Gandhigram,26.388766,80.407613
274,Gandhinagar Cap,23.233746,72.629346
275,Garhbeta,22.86,87.36
276,Garhi Harsaru,28.45,76.933333
277,Gaya Jn,24.795452,84.999431
278,Gevra Road,22.34921,82.64615
279,Ghatsila,23.018135,85.893391
280,Ghaziabad,28.669157,77.453758
281,Giridih,24.182139,86.286951
282,Godhra Jn,22.778804,73.61428
283,Gomoh Jn,23.87,86.17
284,Gonda Jn,27.133991,81.961897
285,Gondia Jn,21.4598,80.195
286,Gooty,15.122948,77.632559
287,Gorakhpur Jn,26.760555,83.373168
288,GUA,15.299327,74.123996
289,Gudivada Jn,16.43,80.99
290,Gudur Jn,14.146319,79.850389
291,Gulbarga,17.329731,76.834296
292,Guna,24.65,77.32
293,Guntakal Jn,15.167409,77.373624
294,Guntur Jn,16.306652,80.43654
295,GUNUPUR,19.08,83.82
296,Guruvayur,10.59525,76.036258
297,Guwahati,26.144517,91.736237
298,Gwalior,26.218287,78.182831
299,H Nizamuddin,25.942377,81.087883
300,Habibganj,27.916966,78.4418
301,Haibargaon,26.344258,92.680994
302,Hajipur Jn,25.68,85.22
303,Haldia,22.066674,88.069812
304,Haldibari,26.334544,88.780658
305,Hanumangarh Jn,29.622444,74.294221
306,Hapa,23.567202,72.920956
307,Hapur,28.73058,77.775882
308,Haridwar Jn,29.945691,78.164248
309,Harihar,14.530457,75.801096
310,Hathras Jn,27.6,78.05
311,Hatia,22.749659,85.917677
312,Hazaribagh Rd,24.274687,85.793571
313,HIJILLI,22.849137,88.602417
314,Himatnagar,23.612325,72.96031
315,Hindupur,13.83,77.49
316,Hisar,29.149188,75.721653
317,Hoshangabad,22.744108,77.736967
318,HOSHIARPUR,31.53,75.92
319,Hospet Jn,15.268854,76.390924
320,Hosur,12.72,77.82
321,Howrah Jn,22.595769,88.263639
322,Hubli Jn,15.364708,75.123955
323,Hyderabad Decan,17.393977,78.467768
324,Igatpuri,19.697316,73.560936
325,Indara Jn,25.986685,83.62154
326,Indore Jn Bg,22.731815,75.902161
327,Indore Junction (MG),22.964254,76.051621
328,Islampur,17.050033,74.265175
329,Itarsi Jn,22.605486,77.753544
330,Itwari,21.153878,79.111102
331,Izatnagar,28.402557,79.424522
332,Jabalpur,23.166667,79.933333
333,Jagdalpur,19.07,82.03
334,JAIJONDOABA,31.345899,76.14794
335,Jaipur,26.912434,75.787271
336,Jaisalmer,26.915749,70.908344
337,Jajpur K Road,20.842379,86.16502
338,Jakhal Jn,27.91,75.44
