Id,Stations,LAT,LON
723,Sonpur Jn,20.933811,83.804868
724,SUBRAHMANYA ROAD,12.60275,75.484927
725,Sugauli Jn,26.757672,84.721107
726,Sujangarh,27.7,74.47
727,Sultanpur,26.264776,82.072706
728,Sulurupeta,13.70215,80.018072
729,Surat,21.17024,72.831061
730,Suratgarh Jn,29.3177,73.898936
731,Surendranagar,22.720132,71.649536
732,Talcher,20.950103,85.216816
733,Talguppa,14.215,74.912
734,Tambaram,12.922915,80.127456
735,Tanakpur,29.072238,80.106565
736,Tandur,17.257576,77.587463
737,TANTPUR,26.839751,77.473065
738,Taranga Hill,23.965823,72.752473
739,Tarighat,21.028417,81.604051
740,Tatanagar Jn,23.048268,84.572005
741,TEJNARAYANPUR,26.95179,93.859168
742,Tenali Jn,16.243,80.64
743,Thane,19.218331,72.97809
744,Thanjavur,10.786999,79.137827
745,Thawe Junction,26.439172,84.394612
746,Thiruttani,13.175849,79.610905
747,THIRUVARUR JN,10.771319,79.636997
748,Thrissur,10.527642,76.214435
749,Tikunia,28.37765,80.989838
750,Tilaiya,23.744611,85.738801
751,Tilak Bridge,28.628016,77.237434
752,Tinpahar Jn,24.99246,87.740653
753,Tinsukia Jn,27.492191,95.346775
754,Tirodi,21.685861,79.723161
755,TIRUCHENDUR,8.496308,78.125085
756,Tiruchirapalli,10.790483,78.704673
757,Tirunelveli,8.73,77.7
758,Tirupati,13.628756,79.419179
759,Titlagarh,20.3,83.15
760,TITVALA,19.299,73.223839
761,Trivandrum Cntl,8.4875,76.9525
762,Tumkur,13.34,77.1
763,Tumsar Road,21.364638,79.899077
764,Tundla Jn,27.213522,78.239071
765,Tuticorin,8.764166,78.134836
766,Udagamandalam,11.41,76.7
767,Udaipur City,24.58,73.68
768,Udhampur,32.912859,75.142863
769,Udhna Jn,21.14661,72.843041
770,Ujjain Jn,23.179301,75.78491
771,Uluberiya,22.474436,88.100038
772,UMARPADA,21.445761,73.482837
773,Umbargam Road,20.173812,72.763966
774,Una Himachal,31.463842,76.269784
775,Unchahar Jn,25.9,81.3
776,Vadodara Jn,22.307159,73.181219
777,Vadtal Swaminarayan,22.591782,72.874448
778,Valsad,20.599235,72.934245
779,Vapi,20.366667,72.9
780,Varanasi City,25.317645,82.973914
781,Varanasi Jn,25.317645,82.973914
782,Vasai Road,19.382389,72.832162
783,Vasco Da Gama,15.386033,73.84404
784,Velankanni,10.681926,79.84368
785,VELLANKANNI,10.681926,79.84368
786,Vellore Cantt,12.916517,79.132499
787,Veraval,20.915898,70.362852
788,Vijapur,23.57,72.75
789,Vijayawada Jn,16.506174,80.648015
790,Vikarabad Jn,17.33643,77.904848
791,Villupuram Jn,11.941,79.493
792,Vindhyachal,22.941844,82.599713
793,Viramgam Jn,23.123638,72.052742
794,Virar,19.47,72.8
795,Virudhunagar Jn,9.583333,77.95
796,Visakhapatnam,17.686816,83.218482
797,Vizianagaram Jn,18.106658,83.395551
798,Vriddhachalam Jn,11.519588,79.325158
799,Vrindavan,27.58,77.7
800,Wadi,21.1476,78.979857
801,Wadsa,20.624521,79.961067
802,WAGHAI,20.773729,73.497566
803,Wankaner Jn,22.621369,70.953048
804,Warangal,17.968901,79.594054
805,WARASEONI,21.764722,80.049444
806,Wardha Jn,20.745319,78.602195
807,Yamuna Bdg Agra,27.205137,78.0348
808,Yavatmal Terminus,20.388794,78.120407
809,Yesvantpur Jn,13.019957,77.546179
